Study_Hours,Attendance,Previous_Marks,Assignment_Scores,Result
3.7,78.5,37.2,41.8,0
9.5,45.0,93.2,49.5,1
7.3,49.7,65.4,42.4,1
6.0,93.9,87.9,36.2,1
1.6,76.4,52.4,38.4,0
1.6,40.6,92.7,62.3,0
0.6,46.1,57.2,44.4,0
8.7,79.8,30.8,55.5,1
6.0,40.3,93.4,65.2,0
7.1,49.6,36.4,78.3,0
0.2,72.9,52.4,32.8,0
9.7,81.5,96.5,86.0,1
8.3,79.1,96.5,74.0,1
2.1,53.5,70.1,35.7,0
1.8,82.7,74.2,91.2,0
1.8,54.2,61.4,94.5,0
3.0,59.5,50.5,34.3,0
5.2,84.8,53.0,49.4,0
4.3,79.0,77.1,86.4,0
2.9,91.0,82.7,82.4,0
6.1,79.5,85.4,42.9,1
1.4,74.1,85.3,44.7,0
2.9,45.6,36.4,55.9,0
3.7,62.1,64.6,63.9,0
4.6,55.9,34.0,73.3,0
7.9,54.6,68.5,55.8,1
2.0,98.4,60.9,62.4,0
5.1,63.6,92.1,82.3,1
5.9,93.5,54.6,32.6,0
0.5,77.9,38.2,47.7,0
6.1,87.7,40.0,79.9,1
1.7,70.2,83.3,92.7,0
0.7,74.6,73.3,65.8,0
9.5,69.6,37.1,67.2,0
9.7,51.7,35.9,37.5,1
8.1,83.3,79.1,61.3,1
3.0,56.8,35.1,67.3,0
1.0,41.5,87.5,47.0,0
6.8,78.7,79.4,48.8,1
4.4,50.6,35.7,56.4,0
1.2,96.4,35.9,31.4,0
5.0,97.2,99.1,52.5,1
0.3,94.9,56.2,44.8,0
9.1,62.2,55.9,52.9,1
2.6,40.9,86.9,38.4,0
6.6,95.7,96.3,92.3,1
3.1,65.7,99.0,71.6,0
5.2,98.0,82.7,77.5,1
5.5,97.8,56.3,85.2,0
1.8,91.2,35.8,64.9,0
9.7,57.7,84.4,36.1,1
7.8,63.1,69.1,67.6,0
9.4,91.1,59.7,71.1,1
8.9,59.0,93.4,82.2,1
6.0,50.2,37.8,60.2,0
9.2,73.4,64.5,38.9,1
0.9,96.2,30.8,49.9,0
2.0,81.8,62.8,55.4,0
0.5,74.2,33.9,75.2,0
3.3,45.8,38.3,70.0,0
3.9,76.9,38.2,54.9,0
2.7,99.4,75.4,99.1,0
8.3,48.4,82.2,72.4,1
3.6,71.1,70.8,46.6,0
2.8,92.6,97.4,37.1,0
5.4,84.4,56.2,40.7,0
1.4,81.8,50.0,47.2,0
8.0,82.1,90.8,41.2,1
0.7,61.6,45.7,43.1,0
9.9,57.6,97.4,50.0,1
7.7,88.6,30.9,42.1,0
2.0,88.6,97.9,92.8,1
0.1,92.0,33.0,35.6,0
